id,label,category,type,description,url,ia,acceso,subcategoria,sector,fecha,source_file,extra
program_30,GTFS,programa,program,Software/plataforma: GTFS,,,,,,,taxonomy,
program_31,GeoArrow,programa,program,Software/plataforma: GeoArrow,,,,,,,taxonomy,
program_32,GeoPandas,programa,program,Software/plataforma: GeoPandas,,,,,,,taxonomy,
program_33,GitHub,programa,program,Software/plataforma: GitHub,,,,,,,taxonomy,
program_34,Google BigQuery,programa,program,Software/plataforma: Google BigQuery,,,,,,,taxonomy,
program_35,Google Colab,programa,program,Software/plataforma: Google Colab,,,,,,,taxonomy,
program_36,Google Earth,programa,program,Software/plataforma: Google Earth,,,,,,,taxonomy,
program_37,Google Earth Engine,programa,program,Software/plataforma: Google Earth Engine,,,,,,,taxonomy,
program_38,Google Maps API,programa,program,Software/plataforma: Google Maps API,,,,,,,taxonomy,
program_39,Google PDFM,programa,program,Software/plataforma: Google PDFM,,,,,,,taxonomy,
program_40,GraphML,programa,program,Software/plataforma: GraphML,,,,,,,taxonomy,
program_41,Grasshopper,programa,program,Software/plataforma: Grasshopper,,,,,,,taxonomy,
program_42,IFC,programa,program,Software/plataforma: IFC,,,,,,,taxonomy,
program_43,IoT,programa,program,Software/plataforma: IoT,,,,,,,taxonomy,
program_44,Java,programa,program,Software/plataforma: Java,,,,,,,taxonomy,
program_45,JavaScript,programa,program,Software/plataforma: JavaScript,,,,,,,taxonomy,
program_46,LLM,programa,program,Software/plataforma: LLM,,,,,,,taxonomy,
program_47,LLaVA,programa,program,Software/plataforma: LLaVA,,,,,,,taxonomy,
program_48,Lonboard,programa,program,Software/plataforma: Lonboard,,,,,,,taxonomy,
program_49,MapLibre,programa,program,Software/plataforma: MapLibre,,,,,,,taxonomy,
program_50,Mapbox,programa,program,Software/plataforma: Mapbox,,,,,,,taxonomy,
program_51,Miro,programa,program,Software/plataforma: Miro,,,,,,,taxonomy,
program_52,Nano Banana,programa,program,Software/plataforma: Nano Banana,,,,,,,taxonomy,
program_53,Nano Banana Pro,programa,program,Software/plataforma: Nano Banana Pro,,,,,,,taxonomy,
program_54,Notion,programa,program,Software/plataforma: Notion,,,,,,,taxonomy,
program_55,OSMnx,programa,program,Software/plataforma: OSMnx,,,,,,,taxonomy,
program_56,OpenRouteService,programa,program,Software/plataforma: OpenRouteService,,,,,,,taxonomy,
program_57,OpenSees,programa,program,Software/plataforma: OpenSees,,,,,,,taxonomy,
program_58,OpenStreetMap,programa,program,Software/plataforma: OpenStreetMap,,,,,,,taxonomy,
program_59,Overture Maps,programa,program,Software/plataforma: Overture Maps,,,,,,,taxonomy,
program_60,PMTiles,programa,program,Software/plataforma: PMTiles,,,,,,,taxonomy,
program_61,Parquet,programa,program,Software/plataforma: Parquet,,,,,,,taxonomy,
program_62,PostgreSQL,programa,program,Software/plataforma: PostgreSQL,,,,,,,taxonomy,
program_63,Power BI,programa,program,Software/plataforma: Power BI,,,,,,,taxonomy,
program_64,PyTorch,programa,program,Software/plataforma: PyTorch,,,,,,,taxonomy,
program_65,PyTorch Geometric,programa,program,Software/plataforma: PyTorch Geometric,,,,,,,taxonomy,
program_66,Python,programa,program,Software/plataforma: Python,,,,,,,taxonomy,
program_67,QGIS,programa,program,Software/plataforma: QGIS,,,,,,,taxonomy,
program_68,QWV,programa,program,Software/plataforma: QWV,,,,,,,taxonomy,
program_69,R,programa,program,Software/plataforma: R,,,,,,,taxonomy,
program_70,Revit,programa,program,Software/plataforma: Revit,,,,,,,taxonomy,
program_71,Rhino,programa,program,Software/plataforma: Rhino,,,,,,,taxonomy,
program_72,Rhino3D,programa,program,Software/plataforma: Rhino3D,,,,,,,taxonomy,
program_73,Ruby on Rails,programa,program,Software/plataforma: Ruby on Rails,,,,,,,taxonomy,
program_74,SQL,programa,program,Software/plataforma: SQL,,,,,,,taxonomy,
program_75,STAC,programa,program,Software/plataforma: STAC,,,,,,,taxonomy,
program_76,SedonaDB,programa,program,Software/plataforma: SedonaDB,,,,,,,taxonomy,
program_77,Sentinel-2,programa,program,Software/plataforma: Sentinel-2,,,,,,,taxonomy,
program_78,SketchUp,programa,program,Software/plataforma: SketchUp,,,,,,,taxonomy,
program_79,Snowflake,programa,program,Software/plataforma: Snowflake,,,,,,,taxonomy,
program_80,Space Syntax,programa,program,Software/plataforma: Space Syntax,,,,,,,taxonomy,
program_81,Speckle,programa,program,Software/plataforma: Speckle,,,,,,,taxonomy,
program_82,Stable Diffusion,programa,program,Software/plataforma: Stable Diffusion,,,,,,,taxonomy,
program_83,Street View,programa,program,Software/plataforma: Street View,,,,,,,taxonomy,
program_84,Supabase,programa,program,Software/plataforma: Supabase,,,,,,,taxonomy,
program_85,SvelteKit,programa,program,Software/plataforma: SvelteKit,,,,,,,taxonomy,
program_86,Three.js,programa,program,Software/plataforma: Three.js,,,,,,,taxonomy,
program_87,UMEP,programa,program,Software/plataforma: UMEP,,,,,,,taxonomy,
program_88,Unreal Engine,programa,program,Software/plataforma: Unreal Engine,,,,,,,taxonomy,
program_89,WAN 2.2,programa,program,Software/plataforma: WAN 2.2,,,,,,,taxonomy,
program_90,Web,programa,program,Software/plataforma: Web,,,,,,,taxonomy,
program_91,Web app,programa,program,Software/plataforma: Web app,,,,,,,taxonomy,
program_92,WebGL,programa,program,Software/plataforma: WebGL,,,,,,,taxonomy,
program_93,Windows,programa,program,Software/plataforma: Windows,,,,,,,taxonomy,
program_94,ZenSVI,programa,program,Software/plataforma: ZenSVI,,,,,,,taxonomy,
program_95,kepler.gl,programa,program,Software/plataforma: kepler.gl,,,,,,,taxonomy,
company_0,Architypes Talent Ltd,empresas,Consultora,Agencia de reclutamiento especializada en talento para estudios de arquitectura y diseño.,https://www.linkedin.com/company/architypes-talent-ltd,,,,Arquitectura,2026-03-21,companies,"{""tipo"": ""Consultora""}"
company_1,Madrid Urban & Cities Design,empresas,Consultora,Estudio de diseño urbano y planificación de ciudades con sede en Madrid.,https://www.linkedin.com/company/madrid-urban-cities-design,,,,Urbanismo,2026-03-21,companies,"{""tipo"": ""Consultora""}"
company_2,Studio Tim Fu,empresas,Estudio de arquitectura,Estudio de diseño computacional y arquitectura paramétrica.,https://www.linkedin.com/company/studio-tim-fu,,,,Arquitectura,2026-03-21,companies,"{""tipo"": ""Estudio de arquitectura""}"
company_3,Speckle,empresas,Empresa privada,"Plataforma open-source de interoperabilidad de datos para AEC (arquitectura, ingeniería y construcción).",https://www.linkedin.com/company/speckle,,,,Smart Cities / Tecnología,2026-03-14,companies,"{""tipo"": ""Empresa privada""}"
company_4,Harvard Urban AI,empresas,Laboratorio de investigación,Iniciativa de Harvard sobre inteligencia artificial aplicada al diseño y análisis urbano.,https://www.linkedin.com/company/harvard-urban-ai,,,,Urbanismo,2026-03-06,companies,"{""tipo"": ""Laboratorio de investigación""}"
company_5,Council on Vertical Urbanism (CVU),empresas,Red / Asociación,Red global dedicada a la investigación y promoción del urbanismo vertical.,https://www.linkedin.com/company/council-on-vertical-urbanism,,,,Urbanismo,2026-02-27,companies,"{""tipo"": ""Red / Asociación""}"
company_6,Council on Vertical Urbanism(CVU) Iberia Chapter,empresas,Red / Asociación,Capítulo ibérico del Council on Vertical Urbanism.,https://www.linkedin.com/company/council-on-vertical-urbanism-cvu-iberia-chapter,,,,Urbanismo,2026-02-27,companies,"{""tipo"": ""Red / Asociación""}"
company_7,City Syntax Lab,empresas,Laboratorio de investigación,Laboratorio de investigación en análisis espacial urbano y sintaxis espacial.,https://www.linkedin.com/company/city-syntax-lab,,,,Urbanismo,2026-02-17,companies,"{""tipo"": ""Laboratorio de investigación""}"
company_8,Urban Climate Design Lab,empresas,Laboratorio de investigación,Laboratorio de investigación sobre diseño urbano y adaptación climática.,https://www.linkedin.com/company/urban-climate-design-lab,,,,Sostenibilidad / Medio ambiente,2026-02-17,companies,"{""tipo"": ""Laboratorio de investigación""}"
company_9,Centro de Urbanismo CDU,empresas,Red / Asociación,Centro dedicado a la investigación y difusión del urbanismo contemporáneo.,https://www.linkedin.com/company/centro-de-urbanismo-cdu,,,,Urbanismo,2026-02-01,companies,"{""tipo"": ""Red / Asociación""}"
company_10,Cesium,empresas,Empresa privada,Plataforma de visualización 3D geoespacial y estándares abiertos como 3D Tiles y CesiumJS.,https://www.linkedin.com/company/cesium,,,,GIS / Geoespacial,2025-12-22,companies,"{""tipo"": ""Empresa privada""}"
company_11,Apache Sedona,empresas,Empresa privada,Motor de análisis geoespacial distribuido basado en Apache Spark y Flink.,https://www.linkedin.com/company/apache-sedona,,,,Datos / Analítica,2025-12-22,companies,"{""tipo"": ""Empresa privada""}"
company_12,Laboratorio de Ideas Sostenibles,empresas,ONG / Fundación,Think tank enfocado en innovación y sostenibilidad urbana y territorial.,https://www.linkedin.com/company/laboratorio-de-ideas-sostenibles,,,,Sostenibilidad / Medio ambiente,2025-12-05,companies,"{""tipo"": ""ONG / Fundación""}"
company_13,Urban MOSAIC Lab,empresas,Laboratorio de investigación,"Laboratorio de investigación sobre morfología urbana, modelado espacial y análisis de ciudades.",https://www.linkedin.com/company/urban-mosaic-lab,,,,Urbanismo,2025-11-28,companies,"{""tipo"": ""Laboratorio de investigación""}"
company_14,Máster en Ciudades Inteligentes y Sostenibles - UCM,empresas,Universidad / Academia,Programa de posgrado de la Universidad Complutense de Madrid sobre ciudades inteligentes y sostenibilidad urbana.,https://www.linkedin.com/company/master-en-ciudades-inteligentes-y-sostenibles-ucm,,,,Smart Cities / Tecnología,2025-11-21,companies,"{""tipo"": ""Universidad / Academia""}"
company_15,IDDTEK,empresas,Consultora,Consultora tecnológica especializada en soluciones de innovación y transformación digital.,https://www.linkedin.com/company/iddtek,,,,Smart Cities / Tecnología,2025-11-20,companies,"{""tipo"": ""Consultora""}"
company_16,Systemiq Ltd.,empresas,Consultora,"Consultora de sistemas enfocada en soluciones para cambio climático, economía circular y uso del suelo.",https://www.linkedin.com/company/systemiq,,,,Sostenibilidad / Medio ambiente,2025-11-20,companies,"{""tipo"": ""Consultora""}"
company_17,KnowUrbanNet,empresas,Red / Asociación,Red de conocimiento urbano para el intercambio de investigación y buenas prácticas en ciudades.,https://www.linkedin.com/company/knowurbannet,,,,Urbanismo,2025-11-20,companies,"{""tipo"": ""Red / Asociación""}"
company_18,Urban Studies Journal,empresas,Medio / Publicación,Revista académica internacional de referencia en estudios urbanos y planificación.,https://www.linkedin.com/company/urban-studies-journal,,,,Urbanismo,2025-11-19,companies,"{""tipo"": ""Medio / Publicación""}"
company_19,"CITY: analysis of urban change, theory, action",empresas,Medio / Publicación,"Revista académica sobre análisis del cambio urbano, teoría y acción en ciudades.",https://www.linkedin.com/company/city-analysis-of-urban-change-theory-action,,,,Urbanismo,2025-11-19,companies,"{""tipo"": ""Medio / Publicación""}"
company_20,MedCities / MedCités,empresas,Red / Asociación,Red de ciudades mediterráneas para la cooperación en desarrollo urbano sostenible.,https://www.linkedin.com/company/medcities,,,,Urbanismo,2025-11-19,companies,"{""tipo"": ""Red / Asociación""}"
company_21,NTT DATA,empresas,Empresa privada,Multinacional japonesa de servicios de TI y consultoría digital con proyectos en smart cities.,https://www.linkedin.com/company/ntt-data,,,,Smart Cities / Tecnología,2025-11-18,companies,"{""tipo"": ""Empresa privada""}"
company_22,NUS Urban Analytics Lab,empresas,Laboratorio de investigación,Laboratorio de la National University of Singapore especializado en analítica urbana y gemelos digitales.,https://www.linkedin.com/company/nus-urban-analytics-lab,,,,Datos / Analítica,2025-11-17,companies,"{""tipo"": ""Laboratorio de investigación""}"
company_23,Google Maps Platform,empresas,Empresa privada,"Plataforma de Google para APIs de mapas, rutas y datos geoespaciales.",https://www.linkedin.com/company/google-maps-platform,,,,GIS / Geoespacial,2025-11-15,companies,"{""tipo"": ""Empresa privada""}"
company_24,"LA FACTORÍA, gestión y consultoría",empresas,Consultora,Empresa de gestión y consultoría en urbanismo y desarrollo territorial en España.,https://www.linkedin.com/company/la-factoria-gestion-y-consultoria,,,,Urbanismo,2025-11-14,companies,"{""tipo"": ""Consultora""}"
company_25,ARNAIZ,empresas,Estudio de arquitectura,Estudio de arquitectura y urbanismo con proyectos de diseño y planificación.,https://www.linkedin.com/company/arnaiz,,,,Arquitectura,2025-11-13,companies,"{""tipo"": ""Estudio de arquitectura""}"
company_26,Project for Public Spaces,empresas,ONG / Fundación,Organización sin ánimo de lucro dedicada a la creación y mejora de espacios públicos en ciudades.,https://www.linkedin.com/company/project-for-public-spaces,,,,Urbanismo,2025-11-12,companies,"{""tipo"": ""ONG / Fundación""}"
company_27,Mott MacDonald,empresas,Consultora,"Consultora global de ingeniería, gestión y desarrollo con proyectos en infraestructura y ciudades.",https://www.linkedin.com/company/mott-macdonald,,,,Urbanismo,2025-11-07,companies,"{""tipo"": ""Consultora""}"
company_28,Urban Living Lab Center,empresas,Laboratorio de investigación,Centro de investigación sobre laboratorios urbanos vivientes y co-creación ciudadana.,https://www.linkedin.com/company/urban-living-lab-center,,,,Urbanismo,2025-10-23,companies,"{""tipo"": ""Laboratorio de investigación""}"
company_29,Institute for Urban Excellence,empresas,Laboratorio de investigación,Instituto dedicado a la excelencia en investigación y práctica del urbanismo.,https://www.linkedin.com/company/institute-for-urban-excellence,,,,Urbanismo,2025-10-23,companies,"{""tipo"": ""Laboratorio de investigación""}"
company_30,European Urban Knowledge Network,empresas,Red / Asociación,Red europea para el intercambio de conocimiento sobre políticas urbanas.,https://www.linkedin.com/company/european-urban-knowledge-network,,,,Urbanismo,2025-10-20,companies,"{""tipo"": ""Red / Asociación""}"
company_31,VisualUrb,empresas,Empresa privada,Herramienta de visualización y análisis de datos urbanos.,https://www.linkedin.com/company/visualurb,,,,Urbanismo,2025-10-18,companies,"{""tipo"": ""Empresa privada""}"
company_32,Azora,empresas,Empresa privada,Gestora de inversiones inmobiliarias y de infraestructuras en España.,https://www.linkedin.com/company/azora,,,,Inmobiliario,2025-10-16,companies,"{""tipo"": ""Empresa privada""}"
company_33,UNDP Careers,empresas,Institución pública,Portal de empleo del Programa de las Naciones Unidas para el Desarrollo.,https://www.linkedin.com/company/undp-careers,,,,Cooperación internacional,2025-10-16,companies,"{""tipo"": ""Institución pública""}"
company_34,WSP,empresas,Consultora,Consultora global de ingeniería y medio ambiente con proyectos en infraestructura y ciudades sostenibles.,https://www.linkedin.com/company/wsp,,,,Urbanismo,2025-10-15,companies,"{""tipo"": ""Consultora""}"
company_35,Harvard University Graduate School of Design,empresas,Universidad / Academia,"Escuela de posgrado de Harvard en arquitectura, urbanismo y diseño del paisaje.",https://www.linkedin.com/company/harvard-gsd,,,,Arquitectura,2025-10-12,companies,"{""tipo"": ""Universidad / Academia""}"
company_36,KPMG Real Estate,empresas,Consultora,División inmobiliaria de KPMG con servicios de asesoría y valoración de activos.,https://www.linkedin.com/company/kpmg-real-estate,,,,Inmobiliario,2025-10-12,companies,"{""tipo"": ""Consultora""}"
company_37,Muppy,empresas,Empresa privada,Plataforma digital de coliving y alquiler flexible para jóvenes profesionales.,https://www.linkedin.com/company/muppy,,,,Inmobiliario,2025-10-12,companies,"{""tipo"": ""Empresa privada""}"
company_38,Take Point Real Estate,empresas,Empresa privada,Empresa inmobiliaria especializada en inversión y gestión de propiedades.,https://www.linkedin.com/company/take-point-real-estate,,,,Inmobiliario,2025-10-12,companies,"{""tipo"": ""Empresa privada""}"
company_39,Euro-Funding,empresas,Consultora,Consultora especializada en captación de fondos europeos y financiación para innovación.,https://www.linkedin.com/company/euro-funding,,,,Otro,2025-10-12,companies,"{""tipo"": ""Consultora""}"
company_40,Atelier itd,empresas,Consultora,Taller de innovación social y desarrollo territorial vinculado a la UPM.,https://www.linkedin.com/company/atelier-itd,,,,Urbanismo,2025-10-11,companies,"{""tipo"": ""Consultora""}"
company_41,Centro de Innovación en Tecnología para el Desarrollo Humano itdUPM,empresas,Laboratorio de investigación,Centro de la UPM que conecta tecnología e innovación con desarrollo humano y sostenible.,https://www.linkedin.com/company/itdupm,,,,Cooperación internacional,2025-10-11,companies,"{""tipo"": ""Laboratorio de investigación""}"
company_42,Urban Partners,empresas,Consultora,Consultoría de urbanismo y planificación estratégica para ciudades.,https://www.linkedin.com/company/urban-partners,,,,Urbanismo,2025-10-10,companies,"{""tipo"": ""Consultora""}"
company_43,snapland,empresas,Empresa privada,Plataforma de captura y análisis de datos geoespaciales mediante drones y sensores.,https://www.linkedin.com/company/snapland,,,,GIS / Geoespacial,2025-10-09,companies,"{""tipo"": ""Empresa privada""}"
company_44,LAND,empresas,Estudio de arquitectura,Estudio internacional de arquitectura del paisaje y diseño urbano sostenible.,https://www.linkedin.com/company/land-srl,,,,Paisajismo,2025-10-08,companies,"{""tipo"": ""Estudio de arquitectura""}"
company_45,Finch,empresas,Empresa privada,Plataforma de análisis de sostenibilidad y evaluación ambiental para proyectos de construcción.,https://www.linkedin.com/company/finch3d,,,,Sostenibilidad / Medio ambiente,2025-10-08,companies,"{""tipo"": ""Empresa privada""}"
company_46,urbanAlibi,empresas,Consultora,Estudio de urbanismo y estrategia urbana con enfoque en participación ciudadana.,https://www.linkedin.com/company/urbanalibi,,,,Urbanismo,2025-10-07,companies,"{""tipo"": ""Consultora""}"
company_47,Healthy Cities.,empresas,Red / Asociación,Iniciativa dedicada a promover la salud urbana a través del diseño de ciudades saludables.,https://www.linkedin.com/company/healthy-cities,,,,Urbanismo,2025-10-06,companies,"{""tipo"": ""Red / Asociación""}"
company_48,Bax Innovation,empresas,Consultora,"Consultora de innovación especializada en sostenibilidad, economía circular y smart cities.",https://www.linkedin.com/company/bax-innovation,,,,Sostenibilidad / Medio ambiente,2025-10-06,companies,"{""tipo"": ""Consultora""}"
company_49,CITYMAKERS,empresas,Consultora,Consultora de diseño urbano y procesos participativos para la transformación de ciudades.,https://www.linkedin.com/company/citymakers,,,,Urbanismo,2025-10-06,companies,"{""tipo"": ""Consultora""}"
company_50,Ubilabs,empresas,Empresa privada,"Empresa especializada en soluciones de mapas, geolocalización y visualización geoespacial.",https://www.linkedin.com/company/ubilabs,,,,GIS / Geoespacial,2025-10-06,companies,"{""tipo"": ""Empresa privada""}"
company_51,DELT·A,empresas,Consultora,"Estudio de urbanismo, paisaje y diseño territorial.",https://www.linkedin.com/company/delta-urban,,,,Urbanismo,2025-10-05,companies,"{""tipo"": ""Consultora""}"
company_52,Red Española de Ciudades Inteligentes (RECI),empresas,Red / Asociación,Red de ciudades españolas que promueve la innovación y la transformación digital urbana.,https://www.linkedin.com/company/red-espanola-de-ciudades-inteligentes,,,,Smart Cities / Tecnología,2025-10-05,companies,"{""tipo"": ""Red / Asociación""}"
company_53,datos.gob.es - Dirección General del Dato,empresas,Institución pública,Portal de datos abiertos del Gobierno de España gestionado por la Dirección General del Dato.,https://www.linkedin.com/company/datos-gob-es,,,,Datos / Analítica,2025-10-05,companies,"{""tipo"": ""Institución pública""}"
company_54,MB3,empresas,Consultora,Consultora de urbanismo y gestión de proyectos de desarrollo urbano.,https://www.linkedin.com/company/mb3,,,,Urbanismo,2025-10-05,companies,"{""tipo"": ""Consultora""}"
company_55,Chapman Taylor Madrid Studio,empresas,Estudio de arquitectura,"Oficina madrileña de Chapman Taylor, estudio internacional de arquitectura y masterplanning.",https://www.linkedin.com/company/chapman-taylor-madrid-studio,,,,Arquitectura,2025-10-05,companies,"{""tipo"": ""Estudio de arquitectura""}"
company_56,SICE,empresas,Empresa privada,Empresa tecnológica española especializada en sistemas inteligentes de transporte y smart cities.,https://www.linkedin.com/company/sice,,,,Smart Cities / Tecnología,2025-10-05,companies,"{""tipo"": ""Empresa privada""}"
company_57,EY-Parthenon,empresas,Consultora,División de consultoría estratégica de Ernst & Young para transformación empresarial.,https://www.linkedin.com/company/ey-parthenon,,,,Otro,2025-10-05,companies,"{""tipo"": ""Consultora""}"
company_58,MIT Norman B. Leventhal Center for Advanced Urbanism,empresas,Laboratorio de investigación,"Centro del MIT dedicado a la investigación avanzada en urbanismo, diseño y tecnología urbana.",https://www.linkedin.com/company/mit-center-for-advanced-urbanism,,,,Urbanismo,2025-10-03,companies,"{""tipo"": ""Laboratorio de investigación""}"
company_59,C40 Cities Europe,empresas,Red / Asociación,Capítulo europeo de la red C40 de grandes ciudades contra el cambio climático.,https://www.linkedin.com/company/c40-cities-europe,,,,Sostenibilidad / Medio ambiente,2025-10-03,companies,"{""tipo"": ""Red / Asociación""}"
company_60,Dark Matter Labs,empresas,Consultora,Laboratorio de diseño estratégico que trabaja en transiciones sistémicas para ciudades y territorios.,https://www.linkedin.com/company/dark-matter-labs,,,,Urbanismo,2025-10-03,companies,"{""tipo"": ""Consultora""}"
company_61,MMMAPA,empresas,Empresa privada,Estudio de cartografía y visualización de datos geográficos.,https://www.linkedin.com/company/mmmapa,,,,GIS / Geoespacial,2025-10-01,companies,"{""tipo"": ""Empresa privada""}"
company_62,Urban Planning,empresas,Red / Asociación,Comunidad profesional de LinkedIn dedicada al urbanismo y la planificación urbana.,https://www.linkedin.com/company/urban-planning,,,,Urbanismo,2025-09-30,companies,"{""tipo"": ""Red / Asociación""}"
company_63,PROES Consultores,empresas,Consultora,"Consultora española de ingeniería, urbanismo y medio ambiente.",https://www.linkedin.com/company/proes-consultores,,,,Urbanismo,2025-09-24,companies,"{""tipo"": ""Consultora""}"
